PUBCHEM_COMPOUND_CID,PUBCHEM_CACTVS_COMPLEXITY,PUBCHEM_CACTVS_HBOND_ACCEPTOR,PUBCHEM_CACTVS_HBOND_DONOR,PUBCHEM_CACTVS_ROTATABLE_BOND,PUBCHEM_IUPAC_NAME,PUBCHEM_XLOGP3_AA,PUBCHEM_MOLECULAR_FORMULA,PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_SMILES,PUBCHEM_CACTVS_TPSA,PUBCHEM_TOTAL_CHARGE,PUBCHEM_HEAVY_ATOM_COUNT,Description
1,214.0,4,0,5,3-acetyloxy-4-(trimethylazaniumyl)butanoate,0.4,C9H17NO4,203.24,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,66.4,0,14,O-acetylcarnitine is an O-acylcarnitine having acetyl as the acyl substituent. It has a role as a human metabolite. It is functionally related to an acetic acid. It is a conjugate base of an O-acetylcarnitinium.
2,219.0,4,1,6,(2-acetyloxy-3-carboxypropyl)-trimethylazanium,-0.3,C9H18NO4+,204.24,CC(=O)OC(CC(=O)O)C[N+](C)(C)C,63.6,1,14,
3,229.0,4,3,1,"5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid",-0.3,C7H8O4,156.14,C1=CC(C(C(=C1)C(=O)O)O)O,77.8,0,11,"2,3-dihydroxy-2,3-dihydrobenzoic acid is a cyclohexadienecarboxylic acid having the C=C bonds at the 1- and 3-positions, the carboxylic acid at the 1-position and two hydroxy substituents at the 5- and 6-positions. It is a cyclohexadienecarboxylic acid and an alpha,beta-unsaturated monocarboxylic acid. It is a conjugate acid of a 2,3-dihydroxy-2,3-dihydrobenzoate."
4,22.9,2,2,1,1-aminopropan-2-ol,,C3H9NO,75.11,CC(CN)O,46.3,0,5,1-aminopropan-2-ol is any amino alcohol that is propan-2-ol substituted by an amino group at position 1. It has a role as an Escherichia coli metabolite. It is an amino alcohol and a secondary alcohol.
5,162.0,6,3,4,(3-amino-2-oxopropyl) dihydrogen phosphate,-5.0,C3H8NO5P,169.07,C(C(=O)COP(=O)(O)O)N,110.0,0,10,3-amino-2-oxopropyl phosphate is a oxoalkyl phosphate having 3-amino-2-oxopropyl as the oxoalkyl group. It is a conjugate acid of a 3-ammonio-2-oxopropyl phosphate(1-).
6,224.0,4,0,0,"1-chloro-2,4-dinitrobenzene",,C6H3ClN2O4,202.55,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,91.6,0,13,"1-chloro-2,4-dinitrobenzene is a C-nitro compound that is chlorobenzene carrying a nitro substituent at each of the 2- and 4-positions. It has a role as an epitope, an allergen and a sensitiser. It is a C-nitro compound and a member of monochlorobenzenes."
7,162.0,4,1,1,9-ethylpurin-6-amine,,C7H9N5,163.18,CCN1C=NC2=C(N=CN=C21)N,69.6,0,12,
8,134.0,4,3,3,"2,3-dihydroxy-3-methylpentanoic acid",-0.4,C6H12O4,148.16,CCC(C)(C(C(=O)O)O)O,77.8,0,10,"2,3-Dihydroxy-3-methylpentanoate is a hydroxy fatty acid."
9,274.0,9,7,2,"(2,3,4,5,6-pentahydroxycyclohexyl) dihydrogen phosphate",-4.8,C6H13O9P,260.14,C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O,168.0,0,16,
11,6.0,0,0,1,"1,2-dichloroethane",,C2H4Cl2,98.96,C(CCl)Cl,0.0,0,4,"1,2-dichloroethane is a member of the class of chloroethanes substituted by two chloro groups at positions 1 and 2. It has a role as a non-polar solvent, a hepatotoxic agent and a mutagen."
12,104.0,4,4,0,"benzene-1,2,3,5-tetrol",,C6H6O4,142.11,C1=C(C=C(C(=C1O)O)O)O,80.9,0,10,"1,2,3,5-tetrahydroxybenzene is a benzenetetrol."
13,94.3,0,0,0,"1,2,4-trichlorobenzene",,C6H3Cl3,181.4,C1=CC(=C(C=C1Cl)Cl)Cl,0.0,0,9,"1,2,4-trichlorobenzene is a trichlorobenzene with chloro substituents at positions 1, 2 and 4."
14,469.0,5,2,13,7-[3-hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl]heptanoic acid,,C20H32O5,352.5,CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O,91.7,0,25,
15,458.0,2,1,0,"17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one",,C19H30O2,290.4,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C,37.3,0,21,
16,205.0,2,2,0,"1,8-diazacyclotetradecane-2,9-dione",0.6,C12H22N2O2,226.32,C1CCC(=O)NCCCCCC(=O)NCC1,58.2,0,16,"1,8-diazacyclotetradecane-2,9-dione is a ketone."
17,279.0,5,2,2,"2,3-dihydropyridine-2,6-dicarboxylic acid",-0.1,C7H7NO4,169.13,C1C=CC(=NC1C(=O)O)C(=O)O,87.0,0,12,"2,3-dihydrodipicolinic acid is a dihydrodipicolinic acid. It is a conjugate acid of a 2,3-dihydrodipicolinate(2-)."
18,233.0,7,4,5,"4,5,6-trihydroxy-2,3-dioxohexanoic acid",-1.8,C6H8O7,192.12,C(C(C(C(=O)C(=O)C(=O)O)O)O)O,132.0,0,13,
19,157.0,4,3,1,"2,3-dihydroxybenzoic acid",,C7H6O4,154.12,C1=CC(=C(C(=C1)O)O)C(=O)O,77.8,0,11,
20,180.0,4,3,3,"3-(2,3-dihydroxyphenyl)propanoic acid",1.0,C9H10O4,182.17,C1=CC(=C(C(=C1)O)O)CCC(=O)O,77.8,0,13,"3-(2,3-dihydroxyphenyl)propanoic acid is a monocarboxylic acid that is propionic acid carrying a 2,3-dihydroxyphenyl substituent at C-3; a microbial metabolite of quinoline. It has a role as a metabolite. It is functionally related to a propionic acid. It is a conjugate acid of a 3-(2,3-dihydroxyphenyl)propanoate."
21,163.0,4,2,3,2-ethyl-2-hydroxy-3-oxobutanoic acid,-0.2,C6H10O4,146.14,CCC(C(=O)C)(C(=O)O)O,74.6,0,10,2-Aceto-2-hydroxybutanoate is a hydroxy fatty acid.
22,151.0,4,2,2,2-hydroxy-2-methyl-3-oxobutanoic acid,-0.7,C5H8O4,132.11,CC(=O)C(C)(C(=O)O)O,74.6,0,9,"2-acetyllactic acid is a derivative of butyric acid having methyl, hydroxy and oxo substituents at the 2-, 2- and 3-positions respectively. It has a role as a mouse metabolite. It is a 3-oxo monocarboxylic acid, a 2-hydroxy monocarboxylic acid and a tertiary alpha-hydroxy ketone. It is functionally related to a butyric acid. It is a conjugate acid of a 2-acetyllactate."
23,302.0,6,3,4,2-amino-3-(3-oxoprop-1-enyl)but-2-enedioic acid,-0.5,C7H7NO5,185.13,C(=CC(=C(C(=O)O)N)C(=O)O)C=O,118.0,0,13,
24,491.0,11,9,3,"2-amino-5,6,7,8-tetrahydroxy-6-(1,2,3-trihydroxypropyl)-3,4a,7,8a-tetrahydropteridin-4-one",-4.5,C9H17N5O8,323.26,C(C(C(C1(C(N(C2C(N1O)C(=O)NC(=N2)N)O)O)O)O)O)O,216.0,0,22,
26,527.0,8,4,2,"1-(2-amino-7,8-dihydroxy-4-oxo-3,4a,7,8a-tetrahydropteridin-6-yl)propane-1,2-dione",-2.7,C9H11N5O5,269.21,CC(=O)C(=O)C1=NC2C(N=C(NC2=O)N)N(C1O)O,158.0,0,19,
28,229.0,5,3,3,"2-aminohexa-2,4-dienedioic acid",-0.3,C6H7NO4,157.12,C(=CC(=O)O)C=C(C(=O)O)N,101.0,0,11,
29,90.2,4,2,2,2-amino-3-oxopropanoic acid,-3.7,C3H5NO3,103.08,C(=O)C(C(=O)O)N,80.4,0,7,3-oxoalanine is a non-proteinogenic alpha-amino acid that is serine in which the alcoholic hydroxy group has been formally oxidised to the corresponding formyl group. It is a non-proteinogenic alpha-amino acid and an alanine derivative. It is functionally related to a serine.
30,193.0,4,2,3,"2-amino-6-oxohexa-2,4-dienoic acid",-0.3,C6H7NO3,141.12,C(=CC=O)C=C(C(=O)O)N,80.4,0,10,
31,201.0,7,5,5,"(2,3,4-trihydroxy-3-methylbutyl) dihydrogen phosphate",-3.3,C5H13O7P,216.13,CC(CO)(C(COP(=O)(O)O)O)O,127.0,0,13,
32,282.0,6,3,4,"buta-1,3-diene-1,1,4-tricarboxylic acid",1.0,C7H6O6,186.12,C(=CC(=O)O)C=C(C(=O)O)C(=O)O,112.0,0,13,
33,20.0,1,0,1,2-chloroacetaldehyde,0.3,C2H3ClO,78.5,C(C=O)Cl,17.1,0,4,
34,10.0,1,1,1,2-chloroethanol,,C2H5ClO,80.51,C(CCl)O,20.2,0,4,
