cid,name,canonical_smiles,molecular_formula,molecular_weight,h_bond_donors,h_bond_acceptors,rotatable_bonds,topological_psa,logp,heavy_atom_count,murcko_scaffold,functional_groups,rdkit_mol,num_rings,degree_of_unsaturation,rdkit_atom_counts,lipinski_pass,veber_pass
3735651,3-[1-(1-methylimidazol-4-yl)sulfonylpiperidin-4-yl]-1-oxa-3-azaspiro[4.5]decan-2-one,CN1C=C(N=C1)S(=O)(=O)N2CCC(CC2)N3CC4(CCCCC4)OC3=O,C17H26N4O4S,382.5,0,6,3,93.1,1.4,26,O=C1OC2(CCCCC2)CN1C1CCN(S(=O)(=O)c2c[nH]cn2)CC1,"{'tertiary_amine': 1, 'tertiary_amide': 1, 'carbamate': 1, 'lactone': 1, 'sulfonamide': 1}",,4,7,"{'C': 17, 'H': 26, 'N': 4, 'O': 4, 'S': 1}",True,True
839222,(E)-3-[1-(2-amino-2-oxoethyl)indol-3-yl]-2-cyano-N-phenylprop-2-enamide,C1=CC=C(C=C1)NC(=O)C(=CC2=CN(C3=CC=CC=C32)CC(=O)N)C#N,C20H16N4O2,344.4,2,3,5,101.0,2.8,26,O=C(C=Cc1c[nH]c2ccccc12)Nc1ccccc1,"{'tertiary_amine': 1, 'primary_amide': 1, 'secondary_amide': 1, 'benzene': 2, 'alkene': 1}",,3,15,"{'C': 20, 'H': 16, 'N': 4, 'O': 2}",True,True
9228453,(3-piperidin-1-ylsulfonylphenyl)-(4-pyridin-4-ylpiperazin-1-yl)methanone,C1CCN(CC1)S(=O)(=O)C2=CC=CC(=C2)C(=O)N3CCN(CC3)C4=CC=NC=C4,C21H26N4O3S,414.5,0,6,4,82.2,1.9,29,O=C(c1cccc(S(=O)(=O)N2CCCCC2)c1)N1CCN(c2ccncc2)CC1,"{'tertiary_amine': 1, 'tertiary_amide': 1, 'sulfonamide': 1, 'benzene': 1, 'pyridine': 1}",,4,11,"{'C': 21, 'H': 26, 'N': 4, 'O': 3, 'S': 1}",True,True
8217208,"[2-[[4-(difluoromethoxy)-3-methoxyphenyl]methylamino]-2-oxoethyl] 3-ethyl-5-methyl-1,2-oxazole-4-carboxylate",CCC1=NOC(=C1C(=O)OCC(=O)NCC2=CC(=C(C=C2)OC(F)F)OC)C,C18H20F2N2O6,398.4,1,9,10,99.9,3.2,28,O=C(COC(=O)c1cnoc1)NCc1ccccc1,"{'secondary_amide': 1, 'ester': 1, 'ketone': 1, 'ether': 2, 'fluoride': 2, 'benzene': 1}",,2,9,"{'C': 18, 'H': 20, 'F': 2, 'N': 2, 'O': 6}",True,True
7489710,(2R)-1-(2-methyl-1H-indol-3-yl)-2-[5-(4-propan-2-ylphenyl)tetrazol-2-yl]propan-1-one,CC1=C(C2=CC=CC=C2N1)C(=O)C(C)N3N=C(N=N3)C4=CC=C(C=C4)C(C)C,C22H23N5O,373.5,1,4,5,76.5,5.3,28,O=C(Cn1nnc(-c2ccccc2)n1)c1c[nH]c2ccccc12,"{'secondary_amine': 1, 'ketone': 2, 'benzene': 2, 'pyrrole': 1}",,4,14,"{'C': 22, 'H': 23, 'N': 5, 'O': 1}",False,True
4682116,[3-[[(2-bromobenzoyl)-(furan-2-ylmethyl)amino]methyl]phenyl] 3-(trifluoromethyl)benzenesulfonate,C1=CC=C(C(=C1)C(=O)N(CC2=CC(=CC=C2)OS(=O)(=O)C3=CC=CC(=C3)C(F)(F)F)CC4=CC=CO4)Br,C26H19BrF3NO5S,594.4,0,8,8,85.2,6.1,37,O=C(c1ccccc1)N(Cc1cccc(OS(=O)(=O)c2ccccc2)c1)Cc1ccco1,"{'tertiary_amide': 1, 'fluoride': 3, 'bromide': 1, 'benzene': 3, 'furan': 1}",,4,16,"{'C': 26, 'H': 19, 'Br': 1, 'F': 3, 'N': 1, 'O': 5, 'S': 1}",False,True
3439168,"N-(2,3-dimethylphenyl)-2-[(4-methyl-1,2,4-triazol-3-yl)sulfanyl]acetamide",CC1=C(C(=CC=C1)NC(=O)CSC2=NN=CN2C)C,C13H16N4OS,276.36,1,4,4,85.1,1.9,19,O=C(CSc1nnc[nH]1)Nc1ccccc1,"{'tertiary_amine': 1, 'secondary_amide': 1, 'sulfide': 1, 'benzene': 1}",,2,8,"{'C': 13, 'H': 16, 'N': 4, 'O': 1, 'S': 1}",True,True
2917184,"4-[4-(benzenesulfonyl)piperazin-1-yl]-N,N-dimethyl-3-nitroaniline",CN(C)C1=CC(=C(C=C1)N2CCN(CC2)S(=O)(=O)C3=CC=CC=C3)[N+](=O)[O-],C18H22N4O4S,390.5,0,7,4,98.1,2.6,27,O=S(=O)(c1ccccc1)N1CCN(c2ccccc2)CC1,"{'tertiary_amine': 2, 'nitrile': 1, 'nitro': 1, 'sulfonamide': 1, 'benzene': 2}",,3,10,"{'C': 18, 'H': 22, 'N': 4, 'O': 4, 'S': 1}",True,True
14157348,methyl 2-[(4-amino-2-methylnaphthalen-1-yl)-(oxolane-2-carbonyl)amino]propanoate,CC1=C(C2=CC=CC=C2C(=C1)N)N(C(C)C(=O)OC)C(=O)C3CCCO3,C20H24N2O4,356.4,1,5,5,81.9,2.9,26,O=C(Nc1cccc2ccccc12)C1CCCO1,"{'primary_amine': 1, 'tertiary_amide': 1, 'ester': 1, 'ketone': 1, 'ether': 1, 'benzene': 2}",,3,10,"{'C': 20, 'H': 24, 'N': 2, 'O': 4}",True,True
1066450,2-methyl-N-[3-(4-methylpiperidine-1-carbonyl)-4-(4-methylpiperidin-1-yl)phenyl]benzamide,CC1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3C)C(=O)N4CCC(CC4)C,C27H35N3O2,433.6,1,3,4,52.7,5.3,32,O=C(Nc1ccc(N2CCCCC2)c(C(=O)N2CCCCC2)c1)c1ccccc1,"{'tertiary_amine': 1, 'secondary_amide': 1, 'tertiary_amide': 1, 'benzene': 2}",,4,12,"{'C': 27, 'H': 35, 'N': 3, 'O': 2}",False,True
999829,2-[2-bromo-6-ethoxy-4-(hydroxyiminomethyl)phenoxy]-N-[3-(trifluoromethyl)phenyl]acetamide,CCOC1=C(C(=CC(=C1)C=NO)Br)OCC(=O)NC2=CC=CC(=C2)C(F)(F)F,C18H16BrF3N2O4,461.2,2,8,7,80.2,4.4,28,O=C(COc1ccccc1)Nc1ccccc1,"{'secondary_amide': 1, 'imine': 1, 'ether': 2, 'fluoride': 3, 'bromide': 1, 'benzene': 2}",,2,10,"{'C': 18, 'H': 16, 'Br': 1, 'F': 3, 'N': 2, 'O': 4}",True,True
3143891,"5-(1,3-benzodioxol-5-yl)-N-[(1,5-dimethylpyrazol-4-yl)methyl]-7-(trifluoromethyl)-4,5,6,7-tetrahydropyrazolo[1,5-a]pyrimidine-2-carboxamide",CC1=C(C=NN1C)CNC(=O)C2=NN3C(CC(NC3=C2)C4=CC5=C(C=C4)OCO5)C(F)(F)F,C21H21F3N6O3,462.4,2,9,4,95.2,2.9,33,O=C(NCc1cn[nH]c1)c1cc2n(n1)CCC(c1ccc3c(c1)OCO3)N2,"{'secondary_amine': 1, 'secondary_amide': 1, 'ether': 2, 'fluoride': 3, 'benzene': 1}",,5,13,"{'C': 21, 'H': 21, 'F': 3, 'N': 6, 'O': 3}",True,True
7336274,"2-[(2R,6S)-2-(4-chlorophenyl)-4-thiophen-2-yl-1,2,5,6-tetrahydropyrimidin-6-yl]phenol",C1C(NC(N=C1C2=CC=CS2)C3=CC=C(C=C3)Cl)C4=CC=CC=C4O,C20H17ClN2OS,368.9,2,4,3,72.9,4.5,25,c1ccc(C2CC(c3cccs3)=NC(c3ccccc3)N2)cc1,"{'secondary_amine': 1, 'imine': 1, 'phenol': 1, 'chloride': 1, 'benzene': 2, 'thiophene': 1}",,4,13,"{'C': 20, 'H': 17, 'Cl': 1, 'N': 2, 'O': 1, 'S': 1}",True,True
